Reference_residue_cont -3.25237e-05
Reference_residue_mom 0.000318024
0.0361983 -0.000482118 0.022808
0.0373288 -0.000457587 0.0228475
0.0383915 -0.000432054 0.0228598
0.0393945 -0.000406283 0.0228487
0.040349 -0.000382192 0.0228134
0.0412517 -0.000358193 0.0227539
0.0420985 -0.000335388 0.0226741
0.0428925 -0.000313858 0.022576
0.0436365 -0.00029337 0.0224609
0.0443327 -0.000273885 0.0223305
0.0449833 -0.000255416 0.0221863
0.0455908 -0.000237958 0.0220294
0.0461573 -0.000221498 0.0218611
0.0466852 -0.000206017 0.0216825
0.0471767 -0.000191494 0.0214945
0.047634 -0.000177905 0.0212981
0.0480593 -0.000165221 0.021094
0.0484546 -0.000153409 0.020883
0.0488219 -0.000142436 0.0206657
0.0491633 -0.000132267 0.0204427
0.0494804 -0.000122864 0.0202145
0.0497752 -0.00011419 0.0199815
0.0500493 -0.000106206 0.0197441
0.0503044 -9.88739e-05 0.0195026
0.0505419 -9.2156e-05 0.0192574
0.0507633 -8.60146e-05 0.0190087
0.0509699 -8.04128e-05 0.0187567
0.051163 -7.53147e-05 0.0185015
0.0513438 -7.06855e-05 0.0182433
0.0515134 -6.64917e-05 0.0179822
0.0516729 -6.27008e-05 0.0177184
0.0518231 -5.92822e-05 0.0174519
0.0519649 -5.62061e-05 0.0171827
0.0520993 -5.34412e-05 0.0169108
0.0522269 -5.09613e-05 0.0166364
0.0523484 -4.8743e-05 0.0163595
0.0524645 -4.67639e-05 0.0160799
0.0525756 -4.50008e-05 0.0157978
0.0526825 -4.34324e-05 0.0155131
0.0527854 -4.20395e-05 0.0152258
0.0528849 -4.08044e-05 0.0149359
0.0529812 -3.97092e-05 0.0146434
0.0530749 -3.87385e-05 0.0143483
0.0531661 -3.78774e-05 0.0140505
0.0532552 -3.7113e-05 0.01375
0.0533423 -3.64331e-05 0.0134468
0.0534278 -3.58279e-05 0.013141
0.0535117 -3.52878e-05 0.0128324
0.0535942 -3.48007e-05 0.012521
0.0536756 -3.43552e-05 0.0122069
0.0537558 -3.39435e-05 0.01189
0.053835 -3.35594e-05 0.0115704
0.0539132 -3.31973e-05 0.0112479
0.0539905 -3.28518e-05 0.0109228
0.054067 -3.25181e-05 0.0105948
0.0541426 -3.21919e-05 0.0102641
0.0542175 -3.18691e-05 0.00993062
0.0542916 -3.1546e-05 0.00959442
0.0543649 -3.12189e-05 0.00925551
0.0544375 -3.08849e-05 0.0089139
0.0545092 -3.05412e-05 0.00856962
0.0545802 -3.01855e-05 0.0082227
0.0546503 -2.98154e-05 0.00787316
0.0547196 -2.94294e-05 0.00752104
0.0547879 -2.90252e-05 0.00716638
0.0548553 -2.86021e-05 0.00680921
0.0549218 -2.81575e-05 0.00644957
