Reference_residue_cont -4.32931e-05
Reference_residue_mom 0.000300734
-0.0632322 -0.00844029 -0.0157333
-0.0624101 -0.00846133 -0.0137218
-0.061248 -0.00844293 -0.011636
-0.0597343 -0.00838257 -0.00948536
-0.0578602 -0.00827729 -0.00728107
-0.055621 -0.00812494 -0.0050357
-0.0530157 -0.0079229 -0.00276356
-0.0500432 -0.00766879 -0.000479036
-0.0467109 -0.00736217 0.00180008
-0.0430383 -0.0070059 0.00405594
-0.039045 -0.00659807 0.00627046
-0.0347503 -0.00614112 0.00842652
-0.0301799 -0.00563231 0.0105055
-0.0253583 -0.00508144 0.0124915
-0.0203169 -0.00449336 0.0143664
-0.0150843 -0.00386967 0.0161172
-0.00969803 -0.00320557 0.0177273
-0.00418273 -0.00251468 0.0191882
0.00141678 -0.00179343 0.0204842
0.00708309 -0.0010569 0.0216128
0.0127616 -0.000297854 0.022559
0.0184527 0.000464149 0.0233281
0.0240795 0.00124263 0.0239035
0.0296843 0.00201145 0.0243024
0.0351093 0.00277977 0.0244989
0.0404363 0.00350533 0.0245445
0.0456443 0.00425561 0.0243934
0.0508805 0.00499263 0.0240749
0.0558566 0.0057387 0.0235445
0.0608277 0.00643067 0.0228803
0.0654392 0.00713742 0.0220033
0.0701582 0.00777905 0.0210228
0.0743826 0.00844766 0.0198155
0.0789046 0.00903793 0.0185466
0.0827011 0.00966457 0.0170209
0.0871609 0.0101916 0.0154931
0.090455 0.0107754 0.0136539
0.0951583 0.0112502 0.0118996
0.0978069 0.0117762 0.00970218
0.103425 0.0122093 0.00776654
0.104875 0.0124488 0.00507602
0.113546 0.0128184 0.00313838
0.187189 -0.000216691 -0.0176054
0.188441 -0.000339779 -0.0191503
0.189536 -0.00020516 -0.0208393
0.189909 -0.000119855 -0.022369
0.190244 -0.000109641 -0.0239121
0.190505 -0.000108178 -0.0254652
0.190817 -0.000115602 -0.0270237
0.191082 -0.000117618 -0.0286008
0.191433 -0.000130599 -0.0301862
0.191728 -0.000135116 -0.0317936
0.192139 -0.000153748 -0.0334099
0.192484 -0.000162962 -0.0350533
0.19299 -0.000189527 -0.0367073
0.193409 -0.000202784 -0.0383968
0.194047 -0.000238422 -0.0400992
0.194567 -0.000257868 -0.041848
0.195391 -0.000306429 -0.043613
0.196045 -0.000334385 -0.0454404
0.197134 -0.000400366 -0.0472877
0.197961 -0.000441746 -0.0492209
0.199436 -0.00053302 -0.051178
0.200483 -0.000598296 -0.0532576
0.202557 -0.000728693 -0.055364
0.203871 -0.000846725 -0.0576554
0.206975 -0.00104987 -0.0599716
0.208597 -0.00132974 -0.0625947
0.213848 -0.00175403 -0.0652317
0.215741 -0.00291877 -0.068426
0.227372 -0.00556651 -0.0713537
0.213611 -0.0161278 -0.0745558
0.166059 -0.0236794 -0.0741331
0.0995856 -0.0215738 -0.0697359
0.0347856 -0.00632849 -0.063467
-0.0018773 0.00824458 -0.0573296
-0.0144707 0.0126786 -0.0533828
-0.0170529 0.0138974 -0.0512145
-0.0179803 0.0142211 -0.0495634
-0.0174372 0.0136796 -0.0484937
-0.0167629 0.0131236 -0.0476711
-0.0159188 0.0124962 -0.0470715
-0.0151897 0.0119859 -0.0465949
-0.0145601 0.0115419 -0.0462122
-0.014035 0.0111101 -0.0458842
-0.0134725 0.010524 -0.0455931
-0.0128184 0.00969624 -0.0453473
-0.0115311 0.0082609 -0.0450927
-0.0103911 0.00636804 -0.0449747
-0.0102907 0.00481663 -0.0449291
-0.0108241 0.00357496 -0.0449069
-0.011696 0.00257813 -0.044899
-0.0134034 0.00186271 -0.044925
-0.0155046 0.00150892 -0.0448843
-0.0172673 0.00131335 -0.044861
-0.0189432 0.00119614 -0.0448154
-0.0204857 0.00112428 -0.0447629
-0.0219621 0.00107327 -0.0446986
-0.0233744 0.00103461 -0.0446249
-0.0247394 0.00100245 -0.044541
-0.0260613 0.00097457 -0.0444474
-0.0273457 0.000949387 -0.044344
-0.0285952 0.000926076 -0.0442308
-0.0298123 0.000904111 -0.0441079
-0.0309986 0.00088315 -0.0439754
-0.0321558 0.000863119 -0.0438333
