Reference_residue_cont 1e-30
Reference_residue_mom 0.00019802
0.00653878 0.00189766 0.0247979
0.00522571 0.00185254 0.0247499
0.00394844 0.00174556 0.0247188
0.00276001 0.00156421 0.0247054
0.00169742 0.00129869 0.0247022
0.000840692 0.000937019 0.0247217
0.000165159 0.000524413 0.0247261
-7.62101e-05 4.80206e-05 0.0248071
4.8127e-05 -0.000263127 0.0275517
0.00028554 -0.000701567 0.0275783
0.000700151 -0.00100216 0.0275799
0.00118278 -0.00116731 0.0275759
0.00169387 -0.00120917 0.027559
0.00217796 -0.00115024 0.0275317
0.00259784 -0.00101278 0.0274941
0.00292294 -0.00081736 0.0274471
0.00313017 -0.000581731 0.0273913
0.00320295 -0.000320042 0.0273275
0.00312965 -4.31432e-05 0.0272565
0.00290258 0.000241328 0.0271788
0.00251692 0.000528657 0.0270947
0.0019695 0.000816205 0.0270047
0.0012578 0.00110356 0.0269087
0.00037937 0.00139182 0.0268069
-0.00066884 0.00168321 0.0266991
-0.00189073 0.00198058 0.026585
-0.00329118 0.00228691 0.0264643
-0.00487601 0.0026049 0.0263368
-0.00665176 0.00293676 0.0262022
-0.0086253 0.00328398 0.0260602
-0.0108033 0.00364714 0.0259108
-0.0131916 0.00402588 0.0257538
-0.0157953 0.00441861 0.0255895
-0.0186174 0.00482282 0.0254178
-0.0216589 0.0052351 0.0252394
-0.0249181 0.00565109 0.0250546
-0.0283903 0.00606579 0.0248644
-0.0320674 0.00647349 0.0246697
-0.0359375 0.00686781 0.0244717
-0.0399853 0.00724253 0.024272
-0.0441917 0.00759066 0.0240724
-0.0485327 0.00790435 0.0238748
-0.0529807 0.00817549 0.0236816
-0.0575057 0.00839516 0.0234946
-0.0620739 0.00855641 0.0233172
-0.0666473 0.00865217 0.0231525
-0.0711868 0.00867568 0.0230038
-0.075649 0.00861956 0.0228751
-0.07999 0.00847965 0.0227694
-0.0841675 0.00825217 0.0226897
-0.0881338 0.00793419 0.022641
-0.091842 0.00751735 0.022626
-0.0952579 0.00700716 0.0226447
-0.0983439 0.00641393 0.022701
-0.101058 0.00573476 0.0227972
-0.103365 0.00497216 0.0229342
-0.105234 0.00413074 0.0231126
-0.106638 0.0032168 0.0233318
-0.107554 0.00223751 0.0235911
-0.10796 0.00120165 0.0238888
-0.107842 0.000119219 0.024222
-0.10719 -0.000999498 0.0245871
-0.106 -0.00214184 0.0249791
-0.104272 -0.00329396 0.0253925
-0.102012 -0.00444112 0.0258207
-0.0992307 -0.00556839 0.0262572
-0.0959438 -0.00666171 0.0266947
-0.0921764 -0.00770501 0.0271245
-0.0879589 -0.0086813 0.0275386
-0.0833262 -0.00957484 0.027929
-0.0783194 -0.0103703 0.028288
-0.0729847 -0.0110536 0.0286083
-0.0673732 -0.0116118 0.0288837
-0.0615411 -0.0120339 0.0291087
-0.0555479 -0.0123107 0.0292794
-0.0494541 -0.0124361 0.0293937
-0.0433376 -0.0124033 0.0294457
-0.037265 -0.0122107 0.0294423
-0.0312789 -0.0118674 0.0293864
